,CV R2 Mean,CV R2 Std
Ridge,0.8490445627415315,0.020876516036540716
Lasso,0.8486410724116205,0.019255706353690755
Random Forest,0.8365860482120432,0.019747073946776175
Gradient Boosting,0.8353892742400315,0.01778274152462437
SVR,0.8396009513203169,0.02259635999074872
KNN,0.8212263116149158,0.018370545729448323
Decision Tree,0.803718982141221,0.026677350229761237
MLP,0.8404578592649512,0.02175763905768616
Voting Regressor,0.842601057230761,0.019777877116461087
Stacking Regressor,0.833670674802519,0.01969744314307789
